File,MotionCutoff,FreezeThresh,MinFreezeDuration,Frame,Motion,Freezing
Freezing_animal.mpg,10.0,200.0,15.0,285,511.0,0
Freezing_animal.mpg,10.0,200.0,15.0,286,310.0,0
Freezing_animal.mpg,10.0,200.0,15.0,287,107.0,0
Freezing_animal.mpg,10.0,200.0,15.0,288,338.0,0
Freezing_animal.mpg,10.0,200.0,15.0,289,112.0,0
Freezing_animal.mpg,10.0,200.0,15.0,290,299.0,0
Freezing_animal.mpg,10.0,200.0,15.0,291,58.0,0
Freezing_animal.mpg,10.0,200.0,15.0,292,250.0,0
Freezing_animal.mpg,10.0,200.0,15.0,293,95.0,0
Freezing_animal.mpg,10.0,200.0,15.0,294,266.0,0
Freezing_animal.mpg,10.0,200.0,15.0,295,333.0,0
Freezing_animal.mpg,10.0,200.0,15.0,296,379.0,0
Freezing_animal.mpg,10.0,200.0,15.0,297,574.0,0
Freezing_animal.mpg,10.0,200.0,15.0,298,651.0,0
Freezing_animal.mpg,10.0,200.0,15.0,299,465.0,0
Freezing_animal.mpg,10.0,200.0,15.0,300,199.0,0
Freezing_animal.mpg,10.0,200.0,15.0,301,359.0,0
Freezing_animal.mpg,10.0,200.0,15.0,302,94.0,0
Freezing_animal.mpg,10.0,200.0,15.0,303,49.0,0
Freezing_animal.mpg,10.0,200.0,15.0,304,102.0,0
Freezing_animal.mpg,10.0,200.0,15.0,305,71.0,0
Freezing_animal.mpg,10.0,200.0,15.0,306,239.0,0
Freezing_animal.mpg,10.0,200.0,15.0,307,229.0,0
Freezing_animal.mpg,10.0,200.0,15.0,308,329.0,0
Freezing_animal.mpg,10.0,200.0,15.0,309,436.0,0
Freezing_animal.mpg,10.0,200.0,15.0,310,841.0,0
Freezing_animal.mpg,10.0,200.0,15.0,311,726.0,0
Freezing_animal.mpg,10.0,200.0,15.0,312,504.0,0
Freezing_animal.mpg,10.0,200.0,15.0,313,383.0,0
Freezing_animal.mpg,10.0,200.0,15.0,314,393.0,0
Freezing_animal.mpg,10.0,200.0,15.0,315,695.0,0
Freezing_animal.mpg,10.0,200.0,15.0,316,631.0,0
Freezing_animal.mpg,10.0,200.0,15.0,317,851.0,0
Freezing_animal.mpg,10.0,200.0,15.0,318,832.0,0
Freezing_animal.mpg,10.0,200.0,15.0,319,612.0,0
Freezing_animal.mpg,10.0,200.0,15.0,320,580.0,0
Freezing_animal.mpg,10.0,200.0,15.0,321,358.0,0
Freezing_animal.mpg,10.0,200.0,15.0,322,634.0,0
Freezing_animal.mpg,10.0,200.0,15.0,323,631.0,0
Freezing_animal.mpg,10.0,200.0,15.0,324,239.0,0
Freezing_animal.mpg,10.0,200.0,15.0,325,283.0,0
Freezing_animal.mpg,10.0,200.0,15.0,326,506.0,0
Freezing_animal.mpg,10.0,200.0,15.0,327,791.0,0
Freezing_animal.mpg,10.0,200.0,15.0,328,1027.0,0
Freezing_animal.mpg,10.0,200.0,15.0,329,976.0,0
Freezing_animal.mpg,10.0,200.0,15.0,330,714.0,0
Freezing_animal.mpg,10.0,200.0,15.0,331,324.0,0
Freezing_animal.mpg,10.0,200.0,15.0,332,745.0,0
Freezing_animal.mpg,10.0,200.0,15.0,333,1136.0,0
Freezing_animal.mpg,10.0,200.0,15.0,334,929.0,0
Freezing_animal.mpg,10.0,200.0,15.0,335,1238.0,0
Freezing_animal.mpg,10.0,200.0,15.0,336,1196.0,0
Freezing_animal.mpg,10.0,200.0,15.0,337,724.0,0
Freezing_animal.mpg,10.0,200.0,15.0,338,883.0,0
Freezing_animal.mpg,10.0,200.0,15.0,339,536.0,0
Freezing_animal.mpg,10.0,200.0,15.0,340,946.0,0
Freezing_animal.mpg,10.0,200.0,15.0,341,847.0,0
Freezing_animal.mpg,10.0,200.0,15.0,342,971.0,0
Freezing_animal.mpg,10.0,200.0,15.0,343,733.0,0
Freezing_animal.mpg,10.0,200.0,15.0,344,271.0,0
Freezing_animal.mpg,10.0,200.0,15.0,345,548.0,0
Freezing_animal.mpg,10.0,200.0,15.0,346,1018.0,0
Freezing_animal.mpg,10.0,200.0,15.0,347,303.0,0
Freezing_animal.mpg,10.0,200.0,15.0,348,854.0,0
Freezing_animal.mpg,10.0,200.0,15.0,349,536.0,0
Freezing_animal.mpg,10.0,200.0,15.0,350,663.0,0
Freezing_animal.mpg,10.0,200.0,15.0,351,276.0,0
Freezing_animal.mpg,10.0,200.0,15.0,352,470.0,0
Freezing_animal.mpg,10.0,200.0,15.0,353,254.0,0
Freezing_animal.mpg,10.0,200.0,15.0,354,565.0,0
Freezing_animal.mpg,10.0,200.0,15.0,355,153.0,0
Freezing_animal.mpg,10.0,200.0,15.0,356,197.0,0
Freezing_animal.mpg,10.0,200.0,15.0,357,393.0,0
Freezing_animal.mpg,10.0,200.0,15.0,358,357.0,0
Freezing_animal.mpg,10.0,200.0,15.0,359,73.0,0
Freezing_animal.mpg,10.0,200.0,15.0,360,14.0,0
Freezing_animal.mpg,10.0,200.0,15.0,361,21.0,0
Freezing_animal.mpg,10.0,200.0,15.0,362,102.0,0
Freezing_animal.mpg,10.0,200.0,15.0,363,331.0,0
Freezing_animal.mpg,10.0,200.0,15.0,364,301.0,0
Freezing_animal.mpg,10.0,200.0,15.0,365,2.0,0
Freezing_animal.mpg,10.0,200.0,15.0,366,230.0,0
Freezing_animal.mpg,10.0,200.0,15.0,367,379.0,0
Freezing_animal.mpg,10.0,200.0,15.0,368,282.0,0
Freezing_animal.mpg,10.0,200.0,15.0,369,444.0,0
Freezing_animal.mpg,10.0,200.0,15.0,370,927.0,0
Freezing_animal.mpg,10.0,200.0,15.0,371,1034.0,0
Freezing_animal.mpg,10.0,200.0,15.0,372,1315.0,0
